depth,move number,Prunings,Winner,Which Heur,Who First
5,3,8599,--,new,MMB
5,4,4691,--,new,MMB
5,5,4136,--,new,MMB
5,6,2898,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11099,--,new,MMB
5,3,8725,--,new,MMB
5,4,6285,--,new,MMB
5,5,4559,--,new,MMB
5,6,2393,--,new,MMB
5,7,1765,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,10035,--,new,MMB
5,3,8666,--,new,MMB
5,4,4261,--,new,MMB
5,5,4133,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11136,--,new,MMB
5,3,8674,--,new,MMB
5,4,6066,--,new,MMB
5,5,4327,--,new,MMB
5,6,2868,--,new,MMB
5,7,1702,--,new,MMB
5,8,850,--,new,MMB
5,9,422,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,10157,--,new,MMB
5,3,8673,--,new,MMB
5,4,6338,--,new,MMB
5,5,4342,--,new,MMB
5,6,2858,--,new,MMB
5,7,1736,--,new,MMB
5,8,1014,--,new,MMB
5,9,601,--,new,MMB
5,10,166,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11297,--,new,MMB
5,3,8783,--,new,MMB
5,4,5372,--,new,MMB
5,5,4271,--,new,MMB
5,6,2725,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,10062,--,new,MMB
5,3,8690,--,new,MMB
5,4,6230,--,new,MMB
5,5,3041,--,new,MMB
5,6,2878,--,new,MMB
5,7,1774,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11087,--,new,MMB
5,3,8519,--,new,MMB
5,4,6127,--,new,MMB
5,5,4134,--,new,MMB
5,6,2738,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,11119,--,new,MMB
5,3,8727,--,new,MMB
5,4,4313,--,new,MMB
5,5,3979,--,new,MMB
5,6,2692,--,new,MMB
5,0,0,X,new,MMB
5,1,10977,--,new,MMB
5,2,10174,--,new,MMB
5,3,8614,--,new,MMB
5,4,4980,--,new,MMB
5,5,4380,--,new,MMB
5,6,3161,--,new,MMB
