depth,move number,Going First,Minimax Bot time to Make Move,Winner
5,4,0,1.3120088577270508,

5,5,0,1.456998348236084,

5,6,0,0.6420009136199951,X

5,1,0,9.390973567962646,

5,2,0,2.945330858230591,

5,3,0,1.8636431694030762,

5,4,0,2.849999189376831,

5,5,0,1.0480003356933594,

5,6,0,0.6070003509521484,

5,7,0,0.2890026569366455,

5,8,0,0.18599581718444824,X

5,1,0,9.472991704940796,

5,2,0,3.2760767936706543,

5,3,0,1.9040007591247559,

5,4,0,2.3519983291625977,

5,5,0,0.9759993553161621,

5,6,0,0.6060009002685547,

5,7,0,0.4810018539428711,X

5,1,0,9.405035018920898,

5,2,0,5.277368545532227,

5,3,0,1.8490002155303955,

5,4,0,3.3795151710510254,

5,5,0,2.6320302486419678,

5,6,0,0.8190016746520996,

5,7,0,0.2950003147125244,

5,8,0,0.22899937629699707,X

5,1,0,9.45970344543457,

5,2,0,7.189031362533569,

5,3,0,3.470000982284546,

5,4,0,4.479716062545776,

5,5,0,2.4745171070098877,

5,6,0,1.554002046585083,

5,7,0,0.49499964714050293,

5,8,0,0.2034752368927002,

5,9,0,0.10900044441223145,

5,10,0,0.042929649353027344,X

5,1,0,9.648763656616211,

5,2,0,3.3839986324310303,

5,3,0,2.864488124847412,

5,4,0,1.1430368423461914,

5,5,0,1.3440008163452148,

5,6,0,0.8220007419586182,X

5,1,0,9.688835859298706,

5,2,0,5.302783012390137,

5,3,0,1.8829987049102783,

5,4,0,2.6602566242218018,

5,5,0,2.6169955730438232,

5,6,0,0.8625149726867676,

5,7,0,0.5610895156860352,

5,8,0,0.23400163650512695,X

5,1,0,9.7246572971344,

5,2,0,3.367213726043701,

5,3,0,2.970515489578247,

5,4,0,3.7379989624023438,

5,5,0,1.9050014019012451,

5,6,0,0.9451794624328613,

5,7,0,0.4870140552520752,X

5,1,0,9.775861978530884,

5,2,0,3.894639492034912,

5,3,0,1.7386486530303955,

5,4,0,2.853891134262085,

5,5,0,2.135903835296631,

5,6,0,0.6949989795684814,X

5,1,0,9.688489437103271,

5,2,0,7.4244163036346436,

5,3,0,3.742999792098999,

5,4,0,4.9459216594696045,

5,5,0,2.0780014991760254,

5,6,0,1.9354057312011719,

5,7,0,1.0090000629425049,

5,1,1,7.884060621261597,

5,2,1,2.9728336334228516,

5,3,1,2.027998685836792,

5,4,1,1.2065207958221436,

5,5,1,1.7226598262786865,

5,6,1,0.6495168209075928,

5,7,1,0.40799927711486816,

5,8,1,0.13099980354309082,O

5,1,1,8.072235107421875,

5,2,1,3.284358501434326,

5,3,1,2.1031675338745117,

5,4,1,3.066774368286133,

5,5,1,1.5139389038085938,

5,6,1,0.7090277671813965,O

5,1,1,7.850985527038574,

5,2,1,4.09535813331604,

5,3,1,1.91715669631958,

5,4,1,3.082670211791992,

5,5,1,0.7694294452667236,

5,6,1,0.42603611946105957,O

5,1,1,7.61329460144043,

5,2,1,2.318805694580078,

5,3,1,1.9248645305633545,

5,4,1,4.379016160964966,

5,5,1,0.7012276649475098,

5,6,1,0.5312135219573975,

5,7,1,0.43708181381225586,

5,8,1,0.17499899864196777,O

5,1,1,7.585248947143555,

5,2,1,2.584461212158203,

5,3,1,2.091951608657837,

5,4,1,3.455700635910034,

5,5,1,1.0038988590240479,

5,6,1,0.5050239562988281,O

5,1,1,10.059525966644287,

5,2,1,3.0806281566619873,

5,3,1,2.0730323791503906,

5,4,1,2.675048589706421,

5,5,1,1.7077515125274658,

5,6,1,0.8100004196166992,

5,7,1,0.35900020599365234,O

5,1,1,7.8695597648620605,

5,2,1,4.737558126449585,

5,3,1,2.1370439529418945,

5,4,1,3.880944013595581,

5,5,1,1.4331443309783936,

5,6,1,0.4615204334259033,

5,7,1,0.40200090408325195,O

5,1,1,8.147289514541626,

5,2,1,3.2950754165649414,

5,3,1,1.7230005264282227,

5,4,1,2.3945140838623047,

5,5,1,0.9820389747619629,

5,6,1,0.904000997543335,

5,7,1,0.5309996604919434,

5,8,1,0.24500131607055664,

5,9,1,0.07899951934814453,O

5,1,1,8.174555540084839,

5,2,1,2.765246868133545,

5,3,1,2.511491060256958,

5,4,1,1.5893073081970215,

5,5,1,0.6700003147125244,

5,6,1,0.8452277183532715,

5,7,1,0.6180012226104736,O

5,1,1,8.208004713058472,

5,2,1,2.2875189781188965,

5,3,1,1.5029990673065186,

5,4,1,2.5960323810577393,

5,5,1,1.1190001964569092,

5,6,1,0.5980002880096436,O

5,1,1,8.406012535095215,

5,2,1,4.341876745223999,

5,3,1,1.5240001678466797,

5,4,1,3.685999870300293,

5,5,1,1.2090015411376953,

5,6,1,0.48000144958496094,O

5,1,1,7.731057405471802,

5,2,1,2.2643930912017822,

5,3,1,1.5750133991241455,

5,4,1,3.2300772666931152,

5,5,1,1.4575161933898926,

5,6,1,0.6397800445556641,

5,7,1,0.2516200542449951,O

5,1,1,9.188430786132812,

5,2,1,1.920025110244751,

5,3,1,2.129157304763794,

5,4,1,3.7850775718688965,

5,5,1,1.0529975891113281,

5,6,1,0.6155228614807129,

5,7,1,0.30551576614379883,O

5,1,1,7.32656192779541,

5,2,1,3.4082796573638916,

5,3,1,1.8457386493682861,

5,4,1,3.9930973052978516,

5,5,1,2.071000337600708,

5,6,1,0.6849997043609619,

5,7,1,0.3150012493133545,O

5,1,1,7.730542421340942,

5,2,1,4.533560037612915,

5,3,1,2.0240378379821777,

5,4,1,2.684058427810669,

5,5,1,1.2727289199829102,

5,6,1,1.0431325435638428,

5,7,1,0.3820006847381592,

5,8,1,0.18799996376037598,

5,9,1,0.0559995174407959,O

5,1,1,7.020354986190796,

5,2,1,2.2078232765197754,

5,3,1,1.9227464199066162,

5,4,1,2.912116527557373,

5,5,1,1.1175107955932617,

5,6,1,0.6459980010986328,O

5,1,1,7.553316593170166,

5,2,1,2.2590229511260986,

5,3,1,1.3811750411987305,

5,4,1,3.3155059814453125,

5,5,1,1.1101586818695068,

